45.918713092803955
50.603415727615356
49.25978946685791
42.03506565093994
37.8635675907135
30.023142099380493
27.88809299468994
24.77922248840332
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  3.12  494.391239        3526    140199         3 epoll_wait
  2.59  410.552234         244   1682410    132838 read
  0.28   45.093264        3679     12256           pread64
  0.26   41.504659         894     46416           madvise
  0.15   22.945845        6030      3805           munmap
  0.13   20.150290          47    420032           getpid
  0.06    9.748723         747     13048        26 openat
  0.06    9.150731         345     26449       315 stat
  0.03    5.368885         210     25456           fstat
  0.01    2.300833         190     12101           write
  0.01    2.264334         170     13267           close
  0.01    1.766861         386      4568           mmap
  0.01    1.690201       42255        40           wait4
  0.01    0.900401          70     12752           sendmsg
  0.01    0.792911         241      3283           mprotect
  0.00    0.026353          81       324           clone
  0.00    0.014277          33       432           epoll_ctl
  0.00    0.014044          48       288       168 connect
  0.00    0.008766          30       285           set_robust_list
  0.00    0.008065          23       338           getdents64
  0.00    0.006727          17       379           fcntl
  0.00    0.006703         163        41           execve
  0.00    0.006525           2      3164           rt_sigaction
  0.00    0.006508          54       120           shutdown
  0.00    0.005930          25       233           gettid
  0.00    0.004758          39       120           socket
  0.00    0.004194          36       115           getsockname
  0.00    0.003888          32       120           setsockopt
  0.00    0.003457           9       361           rt_sigprocmask
  0.00    0.002383          18       132           prctl
  0.00    0.001678         104        16           sync
  0.00    0.001568          18        84           getrandom
  0.00    0.001409           1      1038         3 lseek
  0.00    0.001187           5       234           brk
  0.00    0.000749          18        40           uname
  0.00    0.000669           1       538       536 ioctl
  0.00    0.000267           6        41        41 access
  0.00    0.000242           2        82        41 arch_prctl
  0.00    0.000229           4        49           geteuid
  0.00    0.000139           8        16           dup2
  0.00    0.000127           5        24           getppid
  0.00    0.000118           4        25           getegid
  0.00    0.000109           4        25           getuid
  0.00    0.000109           4        25           getgid
  0.00    0.000102           6        16           rt_sigreturn
  0.00    0.000081           3        24           pipe2
  0.00    0.000064           2        24           epoll_create
  0.00    0.000036           9         4         3 readlink
  0.00    0.000014          14         1           lstat
  0.00    0.000013           6         2           getcwd
  0.00    0.000009           9         1           set_tid_address
  0.00    0.000009           9         1           prlimit64
  0.00    0.000005           1         3           sigaltstack
  0.00    0.000000           0         2           open
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           sysinfo
------ ----------- ----------- --------- --------- ----------------
100.00 15823.038312               3880672    166981 total
